,Iteration,distance,best_run,states,best_score
531,531,2388,9124,10296,59
532,532,1880,9124,10296,59
533,533,2316,9124,10297,59
534,534,2068,9124,10297,59
535,535,2200,9124,10297,59
536,536,2912,9124,10297,59
537,537,1880,9124,10297,59
538,538,2500,9124,10297,59
539,539,1336,9124,10297,59
540,540,1432,9124,10298,59
541,541,2024,9124,10298,59
542,542,2472,9124,10298,59
543,543,1432,9124,10298,59
544,544,1284,9124,10300,59
545,545,1288,9124,10300,59
546,546,1432,9124,10300,59
547,547,1476,9124,10300,59
548,548,992,9124,10300,59
549,549,1288,9124,10300,59
550,550,1728,9124,10300,59
551,551,1304,9124,10300,59
552,552,1432,9124,10300,59
553,553,2100,9124,10300,59
554,554,2176,9124,10300,59
555,555,2768,9124,10306,59
556,556,1728,9124,10307,59
557,557,1432,9124,10310,59
558,558,1728,9124,10311,59
559,559,1728,9124,10311,59
560,560,2372,9124,10311,59
561,561,1752,9124,10311,59
562,562,2616,9124,10311,59
563,563,1876,9124,10311,59
564,564,2320,9124,10315,59
565,565,2320,9124,10315,59
566,566,2064,9124,10315,59
567,567,2616,9124,10315,59
568,568,3656,9124,10315,59
569,569,2176,9124,10315,59
570,570,2768,9124,10315,59
571,571,3952,9124,10315,59
572,572,5796,9124,10315,59
573,573,2764,9124,10315,59
574,574,2024,9124,10315,59
575,575,1584,9124,10315,59
576,576,2612,9124,10315,59
577,577,1880,9124,10343,59
578,578,1428,9124,10347,59
579,579,2348,9124,10347,59
580,580,3508,9124,10347,59
581,581,4688,9124,10347,59
582,582,4468,9124,10347,59
583,583,5872,9124,10347,59
584,584,7504,9124,10347,59
585,585,3988,9124,10347,59
586,586,2616,9124,10347,59
587,587,1500,9124,10348,59
588,588,1584,9124,10348,59
589,589,6756,9124,10348,59
590,590,2908,9124,10348,59
591,591,5456,9124,10348,59
592,592,2024,9124,10348,59
593,593,3504,9124,10348,59
594,594,2024,9124,10348,59
595,595,1500,9124,10348,59
596,596,1880,9124,10348,59
597,597,2364,9124,10348,59
598,598,1616,9124,10348,59
599,599,2024,9124,10348,59
600,600,4392,9124,10348,59
601,601,4112,9124,10348,59
602,602,6908,9124,10348,59
603,603,7944,9124,10348,59
604,604,2956,9124,10348,59
605,605,3948,9124,10348,59
606,606,6464,9124,10348,59
607,607,5352,9124,10348,59
608,608,3952,9124,10348,59
609,609,3208,9124,10348,59
610,610,2320,9124,10350,59
611,611,4392,9124,10350,59
612,612,2096,9124,10350,59
613,613,1196,9124,10351,59
614,614,1656,9124,10351,59
615,615,3064,9124,10352,59
616,616,4092,9124,10352,59
617,617,2316,9124,10352,59
618,618,4248,9124,10352,59
619,619,3208,9124,10352,59
620,620,2688,9124,10352,59
621,621,1584,9124,10353,59
622,622,1432,9124,10353,59
623,623,2472,9124,10353,59
624,624,1284,9124,10353,59
625,625,1156,9124,10354,59
626,626,992,9124,10354,59
627,627,4248,9124,10354,59
628,628,2472,9124,10357,59
629,629,3952,9124,10357,59
630,630,7420,9124,10359,59
631,631,6164,9124,10359,59
632,632,1332,9124,10359,59
633,633,1584,9124,10359,59
634,634,1432,9124,10362,59
635,635,2616,9124,10362,59
636,636,2836,9124,10364,59
637,637,4096,9124,10364,59
638,638,1584,9124,10364,59
639,639,2024,9124,10364,59
640,640,2176,9124,10364,59
641,641,1288,9124,10364,59
642,642,2176,9124,10364,59
643,643,1728,9124,10364,59
644,644,1880,9124,10364,59
645,645,1432,9124,10379,59
646,646,4456,9124,10379,59
647,647,2172,9124,10379,59
648,648,1428,9124,10379,59
649,649,1160,9124,10379,59
650,650,772,9124,10379,59
651,651,2468,9124,10379,59
652,652,3796,9124,10379,59
653,653,3656,9124,10381,59
654,654,2616,9124,10381,59
655,655,4684,9124,10381,59
656,656,3204,9124,10381,59
657,657,4388,9124,10381,59
658,658,5276,9124,10381,59
659,659,4092,9124,10381,59
660,660,3716,9124,10381,59
661,661,3800,9124,10381,59
662,662,3800,9124,10381,59
663,663,3952,9124,10381,59
664,664,2252,9124,10381,59
665,665,1432,9124,10381,59
666,666,3264,9124,10384,59
667,667,1880,9124,10384,59
668,668,2024,9124,10384,59
669,669,2020,9124,10384,59
670,670,1880,9124,10384,59
671,671,1880,9124,10406,59
672,672,1432,9124,10406,59
