,Iteration,distance,best_run,states,best_score
263,263,2100,11792,7545,77
264,264,4392,11792,7546,77
265,265,3208,11792,7549,77
266,266,6616,11792,7566,77
267,267,1876,11792,7570,77
268,268,2912,11792,7579,77
269,269,2176,11792,7583,77
270,270,1584,11792,7585,77
271,271,4684,11792,7587,77
272,272,4840,11792,7588,77
273,273,2024,11792,7605,77
274,274,3872,11792,7617,77
275,275,3724,11792,7618,77
276,276,2544,11792,7619,77
277,277,5576,11792,7619,77
278,278,6464,11792,7622,77
279,279,1432,11792,7622,77
280,280,3952,11792,7630,77
281,281,3500,11792,7638,77
282,282,3800,11792,7642,77
283,283,5572,11792,7645,77
284,284,2836,11792,7662,77
285,285,1880,11792,7672,77
286,286,3208,11792,7695,77
287,287,3064,11792,7696,77
288,288,3800,11792,7698,77
289,289,2656,11792,7698,77
290,290,1288,11792,7699,77
291,291,1288,11792,7713,77
292,292,3132,11792,7715,77
293,293,2024,11792,7715,77
294,294,2988,11792,7715,77
295,295,2688,11792,7715,77
296,296,1584,11792,7719,77
297,297,2024,11792,7725,77
298,298,2024,11792,7729,77
299,299,2320,11792,7730,77
300,300,5280,11792,7734,77
301,301,2992,11792,7735,77
302,302,1356,11792,7735,77
303,303,1164,11792,7741,77
304,304,2176,11792,7743,77
305,305,3060,11792,7744,77
306,306,4840,11792,7746,77
307,307,3576,11792,7747,77
308,308,1788,11792,7776,77
309,309,1584,11792,7783,77
310,310,1788,11792,7784,77
311,311,4452,11792,7791,77
312,312,3208,11792,7793,77
313,313,2092,11792,7793,77
314,314,1728,11792,7797,77
315,315,2044,11792,7803,77
316,316,3268,11792,7804,77
317,317,3208,11792,7805,77
318,318,4984,11792,7806,77
319,319,1724,11792,7807,77
320,320,1136,11792,7807,77
321,321,1888,11792,7814,77
322,322,1048,11792,7815,77
323,323,2472,11792,7816,77
324,324,4840,11792,7816,77
325,325,2392,11792,7817,77
326,326,1772,11792,7820,77
327,327,2472,11792,7826,77
328,328,1652,11792,7826,77
329,329,3504,11792,7826,77
330,330,7056,11792,7827,77
331,331,7504,11792,7827,77
332,332,1728,11792,7829,77
333,333,2616,11792,7829,77
334,334,2916,11792,7830,77
335,335,3360,11792,7833,77
336,336,2024,11792,7838,77
337,337,7208,11792,7852,77
338,338,1880,11792,7852,77
339,339,1880,11792,7852,77
340,340,2792,11792,7852,77
341,341,3360,11792,7852,77
342,342,3064,11792,7854,77
343,343,6464,11792,7855,77
344,344,1604,11792,7855,77
345,345,2468,11792,7858,77
346,346,2024,11792,7860,77
347,347,3844,11792,7866,77
348,348,4544,11792,7866,77
349,349,8096,11792,7866,77
350,350,1320,11792,7866,77
351,351,1880,11792,7866,77
352,352,2472,11792,7867,77
353,353,2176,11792,7868,77
354,354,2392,11792,7869,77
355,355,6616,11792,7879,77
356,356,1920,11792,7882,77
357,357,1728,11792,7884,77
358,358,1208,11792,7885,77
359,359,2472,11792,7885,77
360,360,2616,11792,7886,77
361,361,5276,11792,7891,77
362,362,1728,11792,7892,77
363,363,2024,11792,7892,77
364,364,1648,11792,7894,77
365,365,3360,11792,7897,77
366,366,2176,11792,7898,77
367,367,6464,11792,7901,77
368,368,1136,11792,7903,77
369,369,2024,11792,7910,77
370,370,1584,11792,7911,77
371,371,2320,11792,7911,77
372,372,4544,11792,7911,77
373,373,8096,11792,7911,77
374,374,1432,11792,7911,77
375,375,3504,11792,7915,77
376,376,1880,11792,7917,77
377,377,1172,11792,7917,77
378,378,3656,11792,7920,77
379,379,6320,11792,7924,77
